
# 2026-06-17T16:24:16+01:00 | Autogluon_Ensemble
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=1 | time=9.763497114181519 | MSE_test=42.990981514086506 | MSE_sur_real=1273.512395721438 | HV_sur=0.5242568507646588 | HV_real=0.5706788445674068 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=2 | time=9.621870279312134 | MSE_test=42.990981514086506 | MSE_sur_real=1187.5112220430212 | HV_sur=0.5244432717627839 | HV_real=0.5716035999354157 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=3 | time=9.900749444961548 | MSE_test=42.990981514086506 | MSE_sur_real=1162.9636678762542 | HV_sur=0.5243800276732025 | HV_real=0.5705164485904544 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=4 | time=8.958909511566162 | MSE_test=42.990981514086506 | MSE_sur_real=1432.9529841235073 | HV_sur=0.524435003520725 | HV_real=0.571428123886334 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=5 | time=9.463443040847778 | MSE_test=42.990981514086506 | MSE_sur_real=1421.7576305601804 | HV_sur=0.5243626781922274 | HV_real=0.5712771587216446 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=6 | time=10.263119459152222 | MSE_test=42.990981514086506 | MSE_sur_real=1395.72962015397 | HV_sur=0.5245474752813384 | HV_real=0.5704478452574002 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=7 | time=9.434900522232056 | MSE_test=42.990981514086506 | MSE_sur_real=1325.2547666038477 | HV_sur=0.5245050010115165 | HV_real=0.5714372588866655 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=8 | time=10.317970991134644 | MSE_test=42.990981514086506 | MSE_sur_real=1209.6609930091893 | HV_sur=0.524404070657439 | HV_real=0.5712786834677561 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=9 | time=9.40044379234314 | MSE_test=42.990981514086506 | MSE_sur_real=1346.4888748690491 | HV_sur=0.52443185983661 | HV_real=0.5712408984121893 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=10 | time=10.560502767562866 | MSE_test=42.990981514086506 | MSE_sur_real=1316.0693896412868 | HV_sur=0.5244153374816242 | HV_real=0.5716632210115278 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=11 | time=9.151613235473633 | MSE_test=42.990981514086506 | MSE_sur_real=1551.281409597628 | HV_sur=0.5245105655233112 | HV_real=0.5714060198445519 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=12 | time=8.532061576843262 | MSE_test=42.990981514086506 | MSE_sur_real=1469.5582970212336 | HV_sur=0.5244353542703859 | HV_real=0.5713646568738202 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=13 | time=11.184197664260864 | MSE_test=42.990981514086506 | MSE_sur_real=1307.2048233307337 | HV_sur=0.5244036379885073 | HV_real=0.5710711655907993 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=14 | time=9.395659923553467 | MSE_test=42.990981514086506 | MSE_sur_real=1125.2212236423065 | HV_sur=0.5244301700442922 | HV_real=0.5711742056163676 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=15 | time=9.420629739761353 | MSE_test=42.990981514086506 | MSE_sur_real=1446.7394581130536 | HV_sur=0.5245159736368032 | HV_real=0.5705691789393261 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=16 | time=11.100000143051147 | MSE_test=42.990981514086506 | MSE_sur_real=1287.4606061290667 | HV_sur=0.5241201888872278 | HV_real=0.5706643943174796 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=17 | time=9.195034742355347 | MSE_test=42.990981514086506 | MSE_sur_real=1251.0145527875547 | HV_sur=0.5243189634094099 | HV_real=0.5701549913964935 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=18 | time=8.751566886901855 | MSE_test=42.990981514086506 | MSE_sur_real=1507.8254641304961 | HV_sur=0.5243572542937764 | HV_real=0.5709456915094923 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=19 | time=11.88603925704956 | MSE_test=42.990981514086506 | MSE_sur_real=1455.166460874529 | HV_sur=0.5242976239979326 | HV_real=0.5711484062910424 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=20 | time=9.321647644042969 | MSE_test=42.990981514086506 | MSE_sur_real=1534.8818536990038 | HV_sur=0.52421393952311 | HV_real=0.5706653288650247 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=21 | time=9.191950798034668 | MSE_test=42.990981514086506 | MSE_sur_real=1144.4139746001686 | HV_sur=0.5245838688020238 | HV_real=0.5710745101975867 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=22 | time=9.209835529327393 | MSE_test=42.990981514086506 | MSE_sur_real=1441.5045742503537 | HV_sur=0.5244080886029064 | HV_real=0.570689148210854 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=23 | time=9.209650993347168 | MSE_test=42.990981514086506 | MSE_sur_real=1131.0297132551375 | HV_sur=0.5244274177009856 | HV_real=0.5714153695712904 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=24 | time=11.397717237472534 | MSE_test=42.990981514086506 | MSE_sur_real=1399.8964831017668 | HV_sur=0.5243082502363098 | HV_real=0.5707921195801205 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=25 | time=9.455820083618164 | MSE_test=42.990981514086506 | MSE_sur_real=1572.0799228850976 | HV_sur=0.5245036484820219 | HV_real=0.5716866121547863 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=26 | time=9.430084943771362 | MSE_test=42.990981514086506 | MSE_sur_real=1284.4709595463662 | HV_sur=0.5245284673565025 | HV_real=0.5712556208331953 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=27 | time=9.380852937698364 | MSE_test=42.990981514086506 | MSE_sur_real=1463.5988026965765 | HV_sur=0.5244054474528502 | HV_real=0.5708801245235424 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=28 | time=9.463070631027222 | MSE_test=42.990981514086506 | MSE_sur_real=1247.7870635794154 | HV_sur=0.5244101730476307 | HV_real=0.5710003967095179 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=29 | time=9.224783658981323 | MSE_test=42.990981514086506 | MSE_sur_real=1504.060870691152 | HV_sur=0.5244727603938308 | HV_real=0.5716985693349982 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re21 | seed=30 | time=12.632538318634033 | MSE_test=42.990981514086506 | MSE_sur_real=1093.1192783446868 | HV_sur=0.5242546910789405 | HV_real=0.5710924944592796 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=1 | time=10.438118696212769 | MSE_test=6802.0501741841235 | MSE_sur_real=176629.47064980038 | HV_sur=1.1623945604610098 | HV_real=1.2021984182534216 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=2 | time=9.735464811325073 | MSE_test=6802.0501741841235 | MSE_sur_real=165303.55348770745 | HV_sur=1.162385101401021 | HV_real=1.2021982498252841 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=3 | time=9.871264219284058 | MSE_test=6802.0501741841235 | MSE_sur_real=175792.47513611362 | HV_sur=1.162400639010503 | HV_real=1.2021984230568716 | HV_bounds_check=True | solution_count=100
