
# 2026-06-18T15:28:46+01:00 | BNN
method=BNN | optimizer=NSGA-II | problem=re23 | seed=1 | time=24.164225578308105 | MSE_test=24055991755.051407 | MSE_sur_real=47480294398.59572 | HV_sur=1.1224400422216498 | HV_real=1.1986713211845565 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=2 | time=24.641953945159912 | MSE_test=24055991755.051407 | MSE_sur_real=51369944679.23401 | HV_sur=1.122939751851312 | HV_real=1.1955253096488594 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=3 | time=24.50648069381714 | MSE_test=24055991755.051407 | MSE_sur_real=25942540284.373623 | HV_sur=1.1227372418435912 | HV_real=1.1987095447046074 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=4 | time=24.46495819091797 | MSE_test=24055991755.051407 | MSE_sur_real=22805101686.061626 | HV_sur=1.122728572578862 | HV_real=1.1935486416679675 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=5 | time=24.595152139663696 | MSE_test=24055991755.051407 | MSE_sur_real=154460288679.00406 | HV_sur=1.1226635381920715 | HV_real=1.2062687150440703 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=6 | time=24.747861862182617 | MSE_test=24055991755.051407 | MSE_sur_real=15890859013.968403 | HV_sur=1.122560062433649 | HV_real=1.194777722248374 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=7 | time=24.994421005249023 | MSE_test=24055991755.051407 | MSE_sur_real=46051531225.82954 | HV_sur=1.1229009699487356 | HV_real=1.2004856723705943 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=8 | time=24.960371732711792 | MSE_test=24055991755.051407 | MSE_sur_real=50366042572.458275 | HV_sur=1.122900089701478 | HV_real=1.1995915394223364 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=9 | time=24.849778413772583 | MSE_test=24055991755.051407 | MSE_sur_real=34951759153.20553 | HV_sur=1.1228294514440778 | HV_real=1.1897547860939344 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=10 | time=24.61601495742798 | MSE_test=24055991755.051407 | MSE_sur_real=6373991918.399744 | HV_sur=1.1223651182229883 | HV_real=1.1928172413976754 | HV_bounds_check=True | solution_count=None
method=BNN | optimizer=NSGA-II | problem=re23 | seed=11 | time=24.899685859680176 | MSE_test=24055991755.051407 | MSE_sur_real=13630123972.657784 | HV_sur=1.1223305755721193 | HV_real=1.1966327172934625 | HV_bounds_check=True | solution_count=None
