
# 2026-06-17T14:36:15+01:00 | DDMOEA-GAN
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=1 | time=1.4611051082611084 | MSE_test=115618.00531946498 | MSE_sur_real=1062251.4713217039 | HV_sur=0.9814364445402448 | HV_real=0.4092194383110732 | HV_bounds_check=None | solution_count=10
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=2 | time=1.55454683303833 | MSE_test=115618.00531946498 | MSE_sur_real=1024779.6358834729 | HV_sur=0.9814375670725114 | HV_real=0.4092171163201899 | HV_bounds_check=None | solution_count=10
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=3 | time=1.6251270771026611 | MSE_test=115618.00531946498 | MSE_sur_real=1096018.126694553 | HV_sur=0.97746408802094 | HV_real=0.2652002794080477 | HV_bounds_check=None | solution_count=6
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=4 | time=1.6479570865631104 | MSE_test=115618.00531946498 | MSE_sur_real=1089189.5576837414 | HV_sur=0.9814375954620912 | HV_real=0.4092198615920695 | HV_bounds_check=None | solution_count=9
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=5 | time=1.6341984272003174 | MSE_test=115618.00531946498 | MSE_sur_real=998100.6818816251 | HV_sur=0.9814383744686139 | HV_real=0.409210346586729 | HV_bounds_check=None | solution_count=11
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=6 | time=1.6698641777038574 | MSE_test=115618.00531946498 | MSE_sur_real=1051717.9317661547 | HV_sur=0.9814294763217974 | HV_real=0.40923055023485205 | HV_bounds_check=None | solution_count=10
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=7 | time=1.7408440113067627 | MSE_test=115618.00531946498 | MSE_sur_real=1003927.6963898607 | HV_sur=0.9814341644896454 | HV_real=0.4092198771966233 | HV_bounds_check=None | solution_count=11
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=8 | time=1.404383659362793 | MSE_test=115618.00531946498 | MSE_sur_real=1062211.430611549 | HV_sur=0.9814324145660299 | HV_real=0.4092210337246942 | HV_bounds_check=None | solution_count=10
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=9 | time=1.4996137619018555 | MSE_test=115618.00531946498 | MSE_sur_real=1089174.852628199 | HV_sur=0.9814347139837084 | HV_real=0.40921822721950496 | HV_bounds_check=None | solution_count=9
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=10 | time=1.4138033390045166 | MSE_test=115618.00531946498 | MSE_sur_real=1032674.217602653 | HV_sur=0.981436340176382 | HV_real=0.4092389906955535 | HV_bounds_check=None | solution_count=10
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re21 | seed=11 | time=1.4895973205566406 | MSE_test=115618.00531946498 | MSE_sur_real=1192539.7016731414 | HV_sur=0.9774642137374048 | HV_real=0.26520021050281184 | HV_bounds_check=None | solution_count=5
