
# 2026-06-17T21:56:45+00:00 | GPR_Matern
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=1 | time=1.8059778213500977 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.613792350620594e-05 | HV_sur=0.5720584681089852 | HV_real=0.5725635453982402 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=2 | time=1.9504148960113525 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.536478057262567e-05 | HV_sur=0.5708577751963418 | HV_real=0.5714266411817225 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=3 | time=2.0026180744171143 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.032979786688657e-05 | HV_sur=0.5721687822454814 | HV_real=0.572649990999336 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=4 | time=1.816338062286377 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.050426777383475e-05 | HV_sur=0.5716260451945767 | HV_real=0.5721542080569522 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=5 | time=1.85225510597229 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.824940401898032e-05 | HV_sur=0.5706265016792282 | HV_real=0.5712460475214611 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=6 | time=1.8344454765319824 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.889346718581628e-05 | HV_sur=0.5711896843723621 | HV_real=0.57162409782316 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=7 | time=1.8393123149871826 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.870307070522054e-05 | HV_sur=0.572024010157554 | HV_real=0.572513807894314 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=8 | time=2.044834852218628 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.89946007268668e-05 | HV_sur=0.5717797258860663 | HV_real=0.5723079319013923 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=9 | time=1.9276111125946045 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.55908399541653e-05 | HV_sur=0.5704312656211243 | HV_real=0.5709689890099952 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=10 | time=1.914198637008667 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.612664438782567e-05 | HV_sur=0.5719007284535271 | HV_real=0.5723491654787342 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re21 | seed=11 | time=1.8499791622161865 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.952771583455431e-05 | HV_sur=0.5720353445630593 | HV_real=0.572552326493903 | HV_bounds_check=True | solution_count=None
