
# 2026-06-17T21:56:29+00:00 | GPR_RBF
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=1 | time=1.6622631549835205 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.577472368903714e-05 | HV_sur=0.572055741947856 | HV_real=0.5723954243932013 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=2 | time=1.9719178676605225 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.5707093932856014e-05 | HV_sur=0.571904731395587 | HV_real=0.5722432534522859 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=3 | time=1.7816734313964844 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.599399714115738e-05 | HV_sur=0.570246805630048 | HV_real=0.5705504980858489 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=4 | time=1.6864845752716064 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.6168407015517144e-05 | HV_sur=0.5716730708598422 | HV_real=0.5720056626475647 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=5 | time=1.7300183773040771 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.3277230157946865e-05 | HV_sur=0.571770952905661 | HV_real=0.5720892553494041 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=6 | time=1.6979568004608154 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.5087400136934684e-05 | HV_sur=0.5713938553223151 | HV_real=0.5716861819793131 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=7 | time=1.6947605609893799 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.6777568327612174e-05 | HV_sur=0.5724192542609787 | HV_real=0.5727576222229034 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=8 | time=1.6893444061279297 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.2991909929898866e-05 | HV_sur=0.5717797872593403 | HV_real=0.5720946979270812 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=9 | time=1.8299107551574707 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.491102426156262e-05 | HV_sur=0.5717604845843096 | HV_real=0.5720813693976827 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=10 | time=1.7547965049743652 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.6067785733894185e-05 | HV_sur=0.5720442142680529 | HV_real=0.5723586351996913 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re21 | seed=11 | time=1.8210787773132324 | MSE_test=4.916724424247195e-06 | MSE_sur_real=5.694110994159721e-05 | HV_sur=0.5716537764470293 | HV_real=0.5719911700778428 | HV_bounds_check=True | solution_count=None
