
# 2026-06-18T18:32:55+01:00 | Prob-MOEA/D
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=1 | time=423.0462296009064 | MSE_test=708909.0537591684 | MSE_sur_real=52231.13323700957 | HV_sur=1.2099998625000175 | HV_real=0.9188583628865579 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=2 | time=422.834725856781 | MSE_test=708909.0537591684 | MSE_sur_real=286139.05720447615 | HV_sur=1.2099998625000175 | HV_real=0.2990866491348876 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=3 | time=422.8262391090393 | MSE_test=708909.0537591684 | MSE_sur_real=284741.66412088595 | HV_sur=1.2099998625000175 | HV_real=0.3142059904874382 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=4 | time=423.656614780426 | MSE_test=708909.0537591684 | MSE_sur_real=37216.05922834431 | HV_sur=1.2099998625000175 | HV_real=1.1746072198044384 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=5 | time=423.743940114975 | MSE_test=708909.0537591684 | MSE_sur_real=57423.021066805995 | HV_sur=1.2099998625000175 | HV_real=0.9502458831780518 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=6 | time=425.2155439853668 | MSE_test=708909.0537591684 | MSE_sur_real=63787.39623132315 | HV_sur=1.2099998625000175 | HV_real=0.8450174842805918 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=7 | time=425.9639015197754 | MSE_test=708909.0537591684 | MSE_sur_real=50042.55506574243 | HV_sur=1.2099998625000175 | HV_real=1.0501008148271564 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=8 | time=426.11395025253296 | MSE_test=708909.0537591684 | MSE_sur_real=30992.59519049486 | HV_sur=1.2099998625000175 | HV_real=1.1969948770578114 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=9 | time=427.12710452079773 | MSE_test=708909.0537591684 | MSE_sur_real=76378.1556448045 | HV_sur=1.2099998625000175 | HV_real=1.1377883620232307 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=10 | time=426.8287773132324 | MSE_test=708909.0537591684 | MSE_sur_real=2402351.351825678 | HV_sur=1.2099998625000175 | HV_real=0.7008229648177737 | HV_bounds_check=None | solution_count=49
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re22 | seed=11 | time=425.71086072921753 | MSE_test=708909.0537591684 | MSE_sur_real=25451.624779240927 | HV_sur=1.2099998625000175 | HV_real=1.1434475845775696 | HV_bounds_check=None | solution_count=50
