
# 2026-06-17T19:28:27+01:00 | Prob-RVEA
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=1 | time=37.57265067100525 | MSE_test=2290292.766048375 | MSE_sur_real=3092932.221827602 | HV_sur=0.8751566876454292 | HV_real=0.20020840680525906 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=2 | time=38.390013456344604 | MSE_test=2290292.766048375 | MSE_sur_real=2518791.0102769034 | HV_sur=0.7380727319102985 | HV_real=0.218132306845893 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=3 | time=40.56749105453491 | MSE_test=2290292.766048375 | MSE_sur_real=3757407.4615238206 | HV_sur=1.08453954704095 | HV_real=0.18199442859776932 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=4 | time=37.60515117645264 | MSE_test=2290292.766048375 | MSE_sur_real=2371822.46718923 | HV_sur=0.7351436669017621 | HV_real=0.23603501064763646 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=5 | time=40.76496958732605 | MSE_test=2290292.766048375 | MSE_sur_real=4038724.421337744 | HV_sur=0.8990832508054167 | HV_real=0.1178633153735719 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=6 | time=42.49784278869629 | MSE_test=2290292.766048375 | MSE_sur_real=2178399.8406154043 | HV_sur=0.8830064422553987 | HV_real=0.31892665664949194 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=7 | time=37.801140546798706 | MSE_test=2290292.766048375 | MSE_sur_real=3657631.5236974903 | HV_sur=0.8734389968228113 | HV_real=0.1306654913932352 | HV_bounds_check=None | solution_count=1
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=8 | time=40.667805671691895 | MSE_test=2290292.766048375 | MSE_sur_real=2312411.8677693377 | HV_sur=0.6677763074679283 | HV_real=0.23012496059022247 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=9 | time=38.17296290397644 | MSE_test=2290292.766048375 | MSE_sur_real=1241617.4083542689 | HV_sur=0.40395297246135276 | HV_real=0.2043242980972382 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=10 | time=39.26848244667053 | MSE_test=2290292.766048375 | MSE_sur_real=2853793.3651937144 | HV_sur=1.0366701724737035 | HV_real=0.3035861839557824 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=11 | time=40.91686201095581 | MSE_test=2290292.766048375 | MSE_sur_real=2762314.0074771177 | HV_sur=0.7862348311573545 | HV_real=0.22592258341566987 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=12 | time=37.420133113861084 | MSE_test=2290292.766048375 | MSE_sur_real=1387363.7649226757 | HV_sur=0.49716881130576246 | HV_real=0.23310849729480534 | HV_bounds_check=None | solution_count=1
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=13 | time=37.47114324569702 | MSE_test=2290292.766048375 | MSE_sur_real=3115210.866147859 | HV_sur=0.8250421496965875 | HV_real=0.19307594234345066 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=14 | time=39.599886417388916 | MSE_test=2290292.766048375 | MSE_sur_real=3758226.549596039 | HV_sur=0.8997019566822042 | HV_real=0.1257305251567522 | HV_bounds_check=None | solution_count=1
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=15 | time=39.081088066101074 | MSE_test=2290292.766048375 | MSE_sur_real=3091322.497436354 | HV_sur=0.7932715249741135 | HV_real=0.1814010434383779 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=16 | time=38.93743443489075 | MSE_test=2290292.766048375 | MSE_sur_real=1648291.3859245616 | HV_sur=0.6479651220409123 | HV_real=0.2857125281469903 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=17 | time=39.68092322349548 | MSE_test=2290292.766048375 | MSE_sur_real=1848421.3528387635 | HV_sur=0.608427256265094 | HV_real=0.23155801784509206 | HV_bounds_check=None | solution_count=1
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=18 | time=39.23167395591736 | MSE_test=2290292.766048375 | MSE_sur_real=1265714.9195627351 | HV_sur=0.39208452848234726 | HV_real=0.19604877360211875 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=19 | time=40.383270263671875 | MSE_test=2290292.766048375 | MSE_sur_real=1830427.8658821695 | HV_sur=0.6106460659520533 | HV_real=0.2524023055141789 | HV_bounds_check=None | solution_count=1
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=20 | time=40.51147198677063 | MSE_test=2290292.766048375 | MSE_sur_real=1798565.5963318357 | HV_sur=0.6433277169466819 | HV_real=0.2625100564363618 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=21 | time=40.74793338775635 | MSE_test=2290292.766048375 | MSE_sur_real=2972100.0076838024 | HV_sur=0.8149864848738843 | HV_real=0.2071141639308116 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=22 | time=46.69843769073486 | MSE_test=2290292.766048375 | MSE_sur_real=1367351.464913927 | HV_sur=0.4739107227862843 | HV_real=0.22785623312214745 | HV_bounds_check=None | solution_count=1
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=23 | time=39.55352067947388 | MSE_test=2290292.766048375 | MSE_sur_real=2471439.8589832736 | HV_sur=0.7559224631706262 | HV_real=0.22717684854157655 | HV_bounds_check=None | solution_count=1
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=24 | time=38.71905469894409 | MSE_test=2290292.766048375 | MSE_sur_real=2657261.539740971 | HV_sur=0.6658573660128331 | HV_real=0.1868797726307147 | HV_bounds_check=None | solution_count=1
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=25 | time=37.614508867263794 | MSE_test=2290292.766048375 | MSE_sur_real=1349809.7379223914 | HV_sur=0.4506750499901947 | HV_real=0.2182281113315094 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=26 | time=39.49552273750305 | MSE_test=2290292.766048375 | MSE_sur_real=1782888.6833218252 | HV_sur=0.6679292934095279 | HV_real=0.27151270921549575 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=27 | time=38.229920625686646 | MSE_test=2290292.766048375 | MSE_sur_real=3215665.384546111 | HV_sur=0.9763657566459086 | HV_real=0.2161898687018193 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=28 | time=41.37028527259827 | MSE_test=2290292.766048375 | MSE_sur_real=1820492.6360795945 | HV_sur=0.5974875119174247 | HV_real=0.25238278817727966 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=29 | time=41.00507092475891 | MSE_test=2290292.766048375 | MSE_sur_real=2166033.2317397175 | HV_sur=0.6623545790272531 | HV_real=0.24088142927865544 | HV_bounds_check=None | solution_count=1
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re21 | seed=30 | time=38.92779564857483 | MSE_test=2290292.766048375 | MSE_sur_real=2613722.0192180932 | HV_sur=0.7478138095058493 | HV_real=0.21221898270752015 | HV_bounds_check=None | solution_count=2
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=1 | time=39.53134822845459 | MSE_test=708909.0537591684 | MSE_sur_real=100262.38977487222 | HV_sur=1.2099998625000175 | HV_real=0.7403838592193626 | HV_bounds_check=None | solution_count=12
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=2 | time=40.11202526092529 | MSE_test=708909.0537591684 | MSE_sur_real=170750.87776203817 | HV_sur=1.2099998625000175 | HV_real=0.4821688013362456 | HV_bounds_check=None | solution_count=10
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=3 | time=39.93810820579529 | MSE_test=708909.0537591684 | MSE_sur_real=26482.40462662753 | HV_sur=1.2099998625000175 | HV_real=0.9945745428354982 | HV_bounds_check=None | solution_count=4
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=4 | time=36.848437547683716 | MSE_test=708909.0537591684 | MSE_sur_real=2840558.457558008 | HV_sur=1.2099998625000175 | HV_real=1.114472386833127 | HV_bounds_check=None | solution_count=43
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=5 | time=40.81253695487976 | MSE_test=708909.0537591684 | MSE_sur_real=151209.85382000424 | HV_sur=1.2099998625000175 | HV_real=0.5917476624082018 | HV_bounds_check=None | solution_count=6
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=6 | time=38.574836015701294 | MSE_test=708909.0537591684 | MSE_sur_real=47203.983070012095 | HV_sur=1.2099998625000175 | HV_real=0.7692659981910593 | HV_bounds_check=None | solution_count=17
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=7 | time=40.14583778381348 | MSE_test=708909.0537591684 | MSE_sur_real=151442.6891346321 | HV_sur=1.2099998625000175 | HV_real=0.5722582419737858 | HV_bounds_check=None | solution_count=10
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=8 | time=40.13176083564758 | MSE_test=708909.0537591684 | MSE_sur_real=120874.76229968053 | HV_sur=1.2099998625000175 | HV_real=0.7146036397591837 | HV_bounds_check=None | solution_count=12
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=9 | time=39.8234384059906 | MSE_test=708909.0537591684 | MSE_sur_real=109411.52936813419 | HV_sur=1.2099998625000175 | HV_real=0.6687423807712398 | HV_bounds_check=None | solution_count=8
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=10 | time=38.15523171424866 | MSE_test=708909.0537591684 | MSE_sur_real=341815.470034302 | HV_sur=1.2099998625000175 | HV_real=0.6248491073697207 | HV_bounds_check=None | solution_count=36
