
# 2026-06-17T21:39:57+01:00 | Autogluon_QR
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=1 | time=32.423874616622925 | MSE_test=72.4150527141531 | MSE_sur_real=1301.3745064705802 | HV_sur=0.5220731226581378 | HV_real=0.5705165553040444 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=2 | time=32.011030435562134 | MSE_test=72.4150527141531 | MSE_sur_real=1116.1225718700862 | HV_sur=0.5219180642763414 | HV_real=0.5708929764149934 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=3 | time=33.14919376373291 | MSE_test=72.4150527141531 | MSE_sur_real=1107.0486823537553 | HV_sur=0.5216507034736211 | HV_real=0.5703565333601737 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=4 | time=32.53444290161133 | MSE_test=72.4150527141531 | MSE_sur_real=1332.6702788920645 | HV_sur=0.5220521166660751 | HV_real=0.5713346232952851 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=5 | time=39.3223237991333 | MSE_test=72.4150527141531 | MSE_sur_real=1671.2049706532891 | HV_sur=0.5221092568416407 | HV_real=0.5714356820196477 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=6 | time=35.41452193260193 | MSE_test=72.4150527141531 | MSE_sur_real=1324.3212068962198 | HV_sur=0.5220116380656048 | HV_real=0.5714563814558715 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=7 | time=33.95065665245056 | MSE_test=72.4150527141531 | MSE_sur_real=1412.27224415601 | HV_sur=0.5221442128241359 | HV_real=0.571386178211478 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=8 | time=36.476813316345215 | MSE_test=72.4150527141531 | MSE_sur_real=1454.126146088724 | HV_sur=0.5217164054011025 | HV_real=0.5712236472891372 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=9 | time=34.06958866119385 | MSE_test=72.4150527141531 | MSE_sur_real=1269.9215180636465 | HV_sur=0.5220202741454801 | HV_real=0.5714132788953685 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=10 | time=35.33642244338989 | MSE_test=72.4150527141531 | MSE_sur_real=1078.926676170125 | HV_sur=0.5220880114432841 | HV_real=0.5714791196723521 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=11 | time=33.59061050415039 | MSE_test=72.4150527141531 | MSE_sur_real=1503.6526124629024 | HV_sur=0.5222446759153009 | HV_real=0.5715991177144318 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=12 | time=33.6946759223938 | MSE_test=72.4150527141531 | MSE_sur_real=1289.0606365122899 | HV_sur=0.5221992727643359 | HV_real=0.5712050786934865 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=13 | time=36.06610727310181 | MSE_test=72.4150527141531 | MSE_sur_real=1267.754365765558 | HV_sur=0.5221085569839348 | HV_real=0.5715319898304854 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=14 | time=32.92855143547058 | MSE_test=72.4150527141531 | MSE_sur_real=1074.6488259287028 | HV_sur=0.52217799968683 | HV_real=0.5715570360349224 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=15 | time=33.00270938873291 | MSE_test=72.4150527141531 | MSE_sur_real=1330.0737254030125 | HV_sur=0.5218423441985304 | HV_real=0.5715863977361625 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=16 | time=35.449443340301514 | MSE_test=72.4150527141531 | MSE_sur_real=1318.1671426233693 | HV_sur=0.5220394315115122 | HV_real=0.5716349847084584 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=17 | time=32.87691926956177 | MSE_test=72.4150527141531 | MSE_sur_real=1119.894420375095 | HV_sur=0.5216795453938174 | HV_real=0.5700698764991867 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=18 | time=34.21766424179077 | MSE_test=72.4150527141531 | MSE_sur_real=1148.30320318034 | HV_sur=0.5220549209653305 | HV_real=0.5713506215126032 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=19 | time=33.25473666191101 | MSE_test=72.4150527141531 | MSE_sur_real=1423.1318438286187 | HV_sur=0.521968794819682 | HV_real=0.5711665946117664 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=20 | time=34.99988269805908 | MSE_test=72.4150527141531 | MSE_sur_real=1107.5386671437832 | HV_sur=0.5219058882437874 | HV_real=0.5708873369384418 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=21 | time=33.477394580841064 | MSE_test=72.4150527141531 | MSE_sur_real=1139.167272937332 | HV_sur=0.5221647022681289 | HV_real=0.5715626975248619 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=22 | time=32.890101194381714 | MSE_test=72.4150527141531 | MSE_sur_real=1005.5266997186486 | HV_sur=0.5220956252243854 | HV_real=0.5711430599753188 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=23 | time=33.15634560585022 | MSE_test=72.4150527141531 | MSE_sur_real=1352.760252653754 | HV_sur=0.5220956098882925 | HV_real=0.571532413301584 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=24 | time=35.31674003601074 | MSE_test=72.4150527141531 | MSE_sur_real=1264.533398313467 | HV_sur=0.5220483480668463 | HV_real=0.5715704842034123 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=25 | time=34.1149799823761 | MSE_test=72.4150527141531 | MSE_sur_real=1331.7673701678884 | HV_sur=0.5221081515509741 | HV_real=0.5718781595629212 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=26 | time=33.266672134399414 | MSE_test=72.4150527141531 | MSE_sur_real=1116.8393705105975 | HV_sur=0.5220913668546634 | HV_real=0.5713461518946359 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=27 | time=32.223559617996216 | MSE_test=72.4150527141531 | MSE_sur_real=1052.4889123483167 | HV_sur=0.5220956317976645 | HV_real=0.5710043738232463 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=28 | time=32.998210430145264 | MSE_test=72.4150527141531 | MSE_sur_real=1001.8123967371538 | HV_sur=0.5220447630043851 | HV_real=0.5710235047421989 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=29 | time=36.72566509246826 | MSE_test=72.4150527141531 | MSE_sur_real=934.9726299548773 | HV_sur=0.5217584667159642 | HV_real=0.568911548704249 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re21 | seed=30 | time=33.812684774398804 | MSE_test=72.4150527141531 | MSE_sur_real=1134.4498965660273 | HV_sur=0.5220727483895545 | HV_real=0.5708111135171908 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=1 | time=9.427306175231934 | MSE_test=3493.176387250978 | MSE_sur_real=1886.1831837351665 | HV_sur=1.1580122586815549 | HV_real=1.2021984331510978 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=2 | time=8.843656539916992 | MSE_test=3493.176387250978 | MSE_sur_real=1925.9251907823198 | HV_sur=1.1580173249854058 | HV_real=1.2021984354921986 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=3 | time=9.643306732177734 | MSE_test=3493.176387250978 | MSE_sur_real=1044.0355617592895 | HV_sur=1.1580089638257205 | HV_real=1.2021983918806123 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=4 | time=9.670520067214966 | MSE_test=3493.176387250978 | MSE_sur_real=1308.525534017463 | HV_sur=1.158017264251577 | HV_real=1.2021984329326199 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=5 | time=9.63991904258728 | MSE_test=3493.176387250978 | MSE_sur_real=1580.564114200641 | HV_sur=1.158018418209633 | HV_real=1.2021984332501052 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=6 | time=8.656375885009766 | MSE_test=3493.176387250978 | MSE_sur_real=1215.585568301286 | HV_sur=1.1579323670401789 | HV_real=1.2021970790482854 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=7 | time=9.023724555969238 | MSE_test=3493.176387250978 | MSE_sur_real=1336.1025019933095 | HV_sur=1.1580179627012626 | HV_real=1.202198434680119 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=8 | time=9.579029321670532 | MSE_test=3493.176387250978 | MSE_sur_real=1055.4875284310829 | HV_sur=1.1580183574902527 | HV_real=1.2021984352089998 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=9 | time=20.008040189743042 | MSE_test=3493.176387250978 | MSE_sur_real=1629.380200839212 | HV_sur=1.1580197948793307 | HV_real=1.2021984363348053 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=10 | time=8.98391079902649 | MSE_test=3493.176387250978 | MSE_sur_real=976.8272500296671 | HV_sur=1.157979183519804 | HV_real=1.202198354666286 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=11 | time=8.556097745895386 | MSE_test=3493.176387250978 | MSE_sur_real=1933.8228176436378 | HV_sur=1.1580193191194894 | HV_real=1.2021984358853859 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=12 | time=9.48469352722168 | MSE_test=3493.176387250978 | MSE_sur_real=918.3174214312713 | HV_sur=1.157934239762047 | HV_real=1.2021979844058488 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=13 | time=9.592580318450928 | MSE_test=3493.176387250978 | MSE_sur_real=936.532864673956 | HV_sur=1.1580131646660203 | HV_real=1.2021984182727898 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=14 | time=9.394176483154297 | MSE_test=3493.176387250978 | MSE_sur_real=1178.5666225948028 | HV_sur=1.1580145969735145 | HV_real=1.2021984355424498 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=15 | time=9.385540246963501 | MSE_test=3493.176387250978 | MSE_sur_real=1007.7990807373179 | HV_sur=1.1580160849909655 | HV_real=1.2021984293746124 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=16 | time=9.494934797286987 | MSE_test=3493.176387250978 | MSE_sur_real=1211.764478426813 | HV_sur=1.1580171022696082 | HV_real=1.2021984325636121 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=17 | time=8.183812618255615 | MSE_test=3493.176387250978 | MSE_sur_real=28890.163052008043 | HV_sur=1.1580198555899621 | HV_real=1.2021984362548854 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=18 | time=19.864935874938965 | MSE_test=3493.176387250978 | MSE_sur_real=1545.798655755116 | HV_sur=1.158018448583269 | HV_real=1.2021984348919372 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=19 | time=10.267893552780151 | MSE_test=3493.176387250978 | MSE_sur_real=1712.7592908124589 | HV_sur=1.1580180841705872 | HV_real=1.2021984330569304 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=20 | time=9.974267721176147 | MSE_test=3493.176387250978 | MSE_sur_real=1237.8493183147978 | HV_sur=1.158004732633974 | HV_real=1.202198429254196 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=21 | time=10.657797813415527 | MSE_test=3493.176387250978 | MSE_sur_real=1043.5685005327105 | HV_sur=1.158017522337851 | HV_real=1.20219843597475 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=22 | time=9.411288022994995 | MSE_test=3493.176387250978 | MSE_sur_real=3322.678830093028 | HV_sur=1.1580180791027122 | HV_real=1.2021984358624256 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=23 | time=9.865820407867432 | MSE_test=3493.176387250978 | MSE_sur_real=1058.9018501706232 | HV_sur=1.158013741638693 | HV_real=1.2021984349943486 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=24 | time=10.405725717544556 | MSE_test=3493.176387250978 | MSE_sur_real=13815.389291968371 | HV_sur=1.158019405137201 | HV_real=1.2021984361762839 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=25 | time=10.34618353843689 | MSE_test=3493.176387250978 | MSE_sur_real=1020.3940921004117 | HV_sur=1.1580051729649248 | HV_real=1.2021984232110263 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=26 | time=10.354915857315063 | MSE_test=3493.176387250978 | MSE_sur_real=1062.9142591862958 | HV_sur=1.1579920896566132 | HV_real=1.2021980128666605 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=27 | time=10.518679141998291 | MSE_test=3493.176387250978 | MSE_sur_real=1639.0201669681153 | HV_sur=1.1580148753536972 | HV_real=1.2021984271218125 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=28 | time=10.18332052230835 | MSE_test=3493.176387250978 | MSE_sur_real=25968.32304755655 | HV_sur=1.1580201136978918 | HV_real=1.2021984363333669 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=29 | time=22.447784900665283 | MSE_test=3493.176387250978 | MSE_sur_real=1687.6640756369065 | HV_sur=1.1580197341314935 | HV_real=1.2021984360680498 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re22 | seed=30 | time=10.721633911132812 | MSE_test=3493.176387250978 | MSE_sur_real=1215.128644725318 | HV_sur=1.1580104923004853 | HV_real=1.2021984349292343 | HV_bounds_check=True | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=1 | time=38.738450050354004 | MSE_test=1415580267.0643458 | MSE_sur_real=125534566689.27824 | HV_sur=1.2102634991598287 | HV_real=1.2095254217469806 | HV_bounds_check=False | solution_count=100
