
# 2026-06-17T14:40:28+01:00 | TGPR-MO
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=1 | time=3.352167844772339 | MSE_test=2634.1262279876673 | MSE_sur_real=5205.967836571456 | HV_sur=0.5494409941097127 | HV_real=0.5414632771985728 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=2 | time=3.3207151889801025 | MSE_test=2634.1262279876673 | MSE_sur_real=5963.368272042624 | HV_sur=0.5488591801786025 | HV_real=0.5502194758830685 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=3 | time=3.4537887573242188 | MSE_test=2634.1262279876673 | MSE_sur_real=4175.947120851702 | HV_sur=0.5460685982161426 | HV_real=0.5514572037847069 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=4 | time=3.2484354972839355 | MSE_test=2634.1262279876673 | MSE_sur_real=4905.15414058292 | HV_sur=0.5483811564391389 | HV_real=0.5466453983298704 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=5 | time=3.209498405456543 | MSE_test=2634.1262279876673 | MSE_sur_real=4029.414983362394 | HV_sur=0.547913135679207 | HV_real=0.5440749643090879 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=6 | time=3.207671642303467 | MSE_test=2634.1262279876673 | MSE_sur_real=5360.014945561306 | HV_sur=0.5491445425122554 | HV_real=0.5468824325701769 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=7 | time=3.1800119876861572 | MSE_test=2634.1262279876673 | MSE_sur_real=5024.770857989744 | HV_sur=0.5497072391929424 | HV_real=0.5422490913159693 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=8 | time=3.180467128753662 | MSE_test=2634.1262279876673 | MSE_sur_real=4867.4597318582155 | HV_sur=0.5482964960686089 | HV_real=0.5473057989964074 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=9 | time=3.282813310623169 | MSE_test=2634.1262279876673 | MSE_sur_real=6036.700159799466 | HV_sur=0.5496474182653305 | HV_real=0.5336847863967882 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=10 | time=3.343541383743286 | MSE_test=2634.1262279876673 | MSE_sur_real=3812.9796995755983 | HV_sur=0.5464428761161755 | HV_real=0.5352453788991431 | HV_bounds_check=None | solution_count=48
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=11 | time=3.3380868434906006 | MSE_test=2634.1262279876673 | MSE_sur_real=5831.153289769365 | HV_sur=0.5497798346742706 | HV_real=0.53938264905235 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=12 | time=4.405879259109497 | MSE_test=2634.1262279876673 | MSE_sur_real=5166.847482762705 | HV_sur=0.54829883153923 | HV_real=0.5535313764425606 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=13 | time=3.4160499572753906 | MSE_test=2634.1262279876673 | MSE_sur_real=5515.923798076926 | HV_sur=0.5472923395700611 | HV_real=0.5484156141793529 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=14 | time=3.320631980895996 | MSE_test=2634.1262279876673 | MSE_sur_real=3899.31553510629 | HV_sur=0.5452290086166424 | HV_real=0.544199286616683 | HV_bounds_check=None | solution_count=49
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=15 | time=3.2694287300109863 | MSE_test=2634.1262279876673 | MSE_sur_real=4776.991636018949 | HV_sur=0.5476215715560392 | HV_real=0.5321379393321813 | HV_bounds_check=None | solution_count=48
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=16 | time=3.2916409969329834 | MSE_test=2634.1262279876673 | MSE_sur_real=4925.0582622248985 | HV_sur=0.548426140373492 | HV_real=0.5476137614026456 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re21 | seed=17 | time=3.3104169368743896 | MSE_test=2634.1262279876673 | MSE_sur_real=4988.544925425103 | HV_sur=0.5488935166857662 | HV_real=0.544151393578989 | HV_bounds_check=None | solution_count=50
