2026-06-18T19:39:38+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re23 | seed=1 | time=1699.817927122116 | MSE_test=137124526.4472287 | MSE_sur_real=521474903.3289489 | HV_sur=1.2105341204647844 | HV_real=1.2095757542775474 | HV_bounds_check=False | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T19:39:58+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=truss2d | seed=1 | time=1753.4902687072754 | MSE_test=1941446829739.4084 | MSE_sur_real=20700029.02505692 | HV_sur=1.1356509751068635 | HV_real=1.1364332712702057 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T19:40:02+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re25 | seed=1 | time=1758.666169166565 | MSE_test=34106157725.14942 | MSE_sur_real=316821752.3873001 | HV_sur=1.12186252861139 | HV_real=1.1216103671437687 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T19:40:31+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=welded_beam | seed=1 | time=1803.7619044780731 | MSE_test=131.83552060641208 | MSE_sur_real=0.013184476594022315 | HV_sur=0.5911411157585426 | HV_real=0.5912259539369678 | HV_bounds_check=True | solution_count=28 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T19:41:34+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re21 | seed=1 | time=1865.9473946094513 | MSE_test=0.5398305604998799 | MSE_sur_real=12.57508203893759 | HV_sur=0.5788118802339665 | HV_real=0.572379612738218 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T19:41:44+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re22 | seed=1 | time=1876.3561642169952 | MSE_test=1268.8340033420293 | MSE_sur_real=9328017.116202485 | HV_sur=1.2121652663737457 | HV_real=1.2021857296924203 | HV_bounds_check=False | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T19:42:18+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re24 | seed=1 | time=1862.3493967056274 | MSE_test=3.44488941509889 | MSE_sur_real=4.370109600664127 | HV_sur=1.1871510216727879 | HV_real=1.1865223129490894 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T19:43:05+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=mo-portfolio | seed=1 | time=1926.1745359897614 | MSE_test=1.8762854345547693e-07 | MSE_sur_real=0.00015877064421805325 | HV_sur=0.31599671587674705 | HV_real=0.2877255404401207 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:03:08+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re23 | seed=2 | time=1399.5257291793823 | MSE_test=137124526.4472287 | MSE_sur_real=427819456.29410654 | HV_sur=1.210627650785191 | HV_real=1.2095745894043939 | HV_bounds_check=False | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:04:20+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=welded_beam | seed=2 | time=1409.6150109767914 | MSE_test=131.83552060641208 | MSE_sur_real=0.029954452303113714 | HV_sur=0.5923220413180612 | HV_real=0.5926030223230758 | HV_bounds_check=True | solution_count=27 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:04:34+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=truss2d | seed=2 | time=1457.594430923462 | MSE_test=1941446829739.4084 | MSE_sur_real=17099096.191944372 | HV_sur=1.1340121937523744 | HV_real=1.1346082631809684 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
