
# 2026-06-17T15:11:37+01:00 | Autogluon_XGBoost
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=1 | time=3.5838096141815186 | MSE_test=1721.4119939981288 | MSE_sur_real=1318.7641123120047 | HV_sur=0.5339353119663709 | HV_real=0.5298764661007404 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=2 | time=3.6092100143432617 | MSE_test=1721.4119939981288 | MSE_sur_real=928.6437073828253 | HV_sur=0.5338580162072725 | HV_real=0.5291400072877105 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=3 | time=3.6488380432128906 | MSE_test=1721.4119939981288 | MSE_sur_real=879.5239986949142 | HV_sur=0.5339782946607076 | HV_real=0.5300577313665865 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=4 | time=3.0764970779418945 | MSE_test=1721.4119939981288 | MSE_sur_real=897.5636231741655 | HV_sur=0.5338560073944308 | HV_real=0.5275005219818816 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=5 | time=3.8772339820861816 | MSE_test=1721.4119939981288 | MSE_sur_real=893.6459781862089 | HV_sur=0.5340238315709646 | HV_real=0.5283584753720446 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=6 | time=3.9280052185058594 | MSE_test=1721.4119939981288 | MSE_sur_real=1213.4384793595693 | HV_sur=0.5340631837117037 | HV_real=0.528113138311649 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=7 | time=3.0157899856567383 | MSE_test=1721.4119939981288 | MSE_sur_real=1083.2180593338242 | HV_sur=0.5322987451840324 | HV_real=0.531447682525221 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=8 | time=3.9991965293884277 | MSE_test=1721.4119939981288 | MSE_sur_real=1190.660122558117 | HV_sur=0.5337374937774838 | HV_real=0.5287667948615594 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=9 | time=3.188720703125 | MSE_test=1721.4119939981288 | MSE_sur_real=1372.0897665494524 | HV_sur=0.5344347197128291 | HV_real=0.5447284729286688 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=10 | time=4.154836177825928 | MSE_test=1721.4119939981288 | MSE_sur_real=1225.939868102224 | HV_sur=0.5340000434720883 | HV_real=0.5301048344611727 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=11 | time=3.05191707611084 | MSE_test=1721.4119939981288 | MSE_sur_real=1217.365190673151 | HV_sur=0.5334638248949974 | HV_real=0.5459632289482713 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=12 | time=3.9127707481384277 | MSE_test=1721.4119939981288 | MSE_sur_real=1095.5791134670728 | HV_sur=0.5340756428661673 | HV_real=0.5286726101044525 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=13 | time=3.0195393562316895 | MSE_test=1721.4119939981288 | MSE_sur_real=1157.7671053413733 | HV_sur=0.5339006047335161 | HV_real=0.5392173732971348 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=14 | time=3.106917381286621 | MSE_test=1721.4119939981288 | MSE_sur_real=894.6352067159113 | HV_sur=0.5326601607408535 | HV_real=0.5253078796794893 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=15 | time=4.830077886581421 | MSE_test=1721.4119939981288 | MSE_sur_real=1026.8421935217843 | HV_sur=0.5339634475389092 | HV_real=0.5302227646165094 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=16 | time=2.6784310340881348 | MSE_test=1721.4119939981288 | MSE_sur_real=1020.984139054016 | HV_sur=0.5338187053761245 | HV_real=0.5288079041847943 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=17 | time=2.5164365768432617 | MSE_test=1721.4119939981288 | MSE_sur_real=889.2707367408684 | HV_sur=0.5333761821632355 | HV_real=0.5294970571246894 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=18 | time=2.614283323287964 | MSE_test=1721.4119939981288 | MSE_sur_real=951.1308104840887 | HV_sur=0.533911756168694 | HV_real=0.5296164985611771 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=19 | time=4.5483527183532715 | MSE_test=1721.4119939981288 | MSE_sur_real=949.6934768852466 | HV_sur=0.5340683092705332 | HV_real=0.5292993382075194 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=20 | time=3.218031406402588 | MSE_test=1721.4119939981288 | MSE_sur_real=1325.5643446641168 | HV_sur=0.5339553040369506 | HV_real=0.529399087540087 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=21 | time=3.064289093017578 | MSE_test=1721.4119939981288 | MSE_sur_real=1738.1065985821597 | HV_sur=0.5336301595868305 | HV_real=0.5415145816256399 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=22 | time=3.2670953273773193 | MSE_test=1721.4119939981288 | MSE_sur_real=847.4688129745659 | HV_sur=0.5335029018620245 | HV_real=0.5299440256025784 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=23 | time=5.1391167640686035 | MSE_test=1721.4119939981288 | MSE_sur_real=902.446484572684 | HV_sur=0.5332798444146651 | HV_real=0.5286728454380168 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=24 | time=3.2109971046447754 | MSE_test=1721.4119939981288 | MSE_sur_real=1127.8526627410515 | HV_sur=0.5340129418394723 | HV_real=0.5278956427526685 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=25 | time=3.185298204421997 | MSE_test=1721.4119939981288 | MSE_sur_real=1062.9554582240494 | HV_sur=0.534024312353375 | HV_real=0.5280731518274562 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=26 | time=3.2047293186187744 | MSE_test=1721.4119939981288 | MSE_sur_real=1186.2982394104697 | HV_sur=0.5338993316517492 | HV_real=0.5302272811393037 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=27 | time=3.379502773284912 | MSE_test=1721.4119939981288 | MSE_sur_real=1551.5692927648731 | HV_sur=0.5341888524318796 | HV_real=0.5489819468985423 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=28 | time=5.550860643386841 | MSE_test=1721.4119939981288 | MSE_sur_real=1278.3869042354124 | HV_sur=0.5338380464163441 | HV_real=0.5406655661636949 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=29 | time=3.0628843307495117 | MSE_test=1721.4119939981288 | MSE_sur_real=1239.6524757143948 | HV_sur=0.5339440361652531 | HV_real=0.5314771257235685 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re21 | seed=30 | time=3.2066359519958496 | MSE_test=1721.4119939981288 | MSE_sur_real=1105.4238637897595 | HV_sur=0.5338779468100647 | HV_real=0.527539443996407 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=1 | time=4.723562479019165 | MSE_test=8739.93418395451 | MSE_sur_real=678.7656338084682 | HV_sur=1.178186846168069 | HV_real=1.176373896959215 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=2 | time=4.43010139465332 | MSE_test=8739.93418395451 | MSE_sur_real=821.3216291275544 | HV_sur=1.1968567529167988 | HV_real=1.185165503056525 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=3 | time=4.5882248878479 | MSE_test=8739.93418395451 | MSE_sur_real=850.9348588570601 | HV_sur=1.1655817479311112 | HV_real=1.157958494550609 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=4 | time=7.8674914836883545 | MSE_test=8739.93418395451 | MSE_sur_real=805.6331839268034 | HV_sur=1.1968567529068321 | HV_real=1.1850785010912428 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=5 | time=3.6025664806365967 | MSE_test=8739.93418395451 | MSE_sur_real=843.150324571057 | HV_sur=1.1968567529146952 | HV_real=1.18516555886384 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=6 | time=3.2836740016937256 | MSE_test=8739.93418395451 | MSE_sur_real=755.0934050533427 | HV_sur=1.1968567525670426 | HV_real=1.1846223207915545 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=7 | time=4.008666038513184 | MSE_test=8739.93418395451 | MSE_sur_real=807.1606052872592 | HV_sur=1.1968567529094072 | HV_real=1.1853785389831712 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=8 | time=4.827072858810425 | MSE_test=8739.93418395451 | MSE_sur_real=871.2983244035828 | HV_sur=1.1968567529136618 | HV_real=1.1852662220707966 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=9 | time=4.773597240447998 | MSE_test=8739.93418395451 | MSE_sur_real=872.0794720768254 | HV_sur=1.1655817479190609 | HV_real=1.1584652810173 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=10 | time=4.693524360656738 | MSE_test=8739.93418395451 | MSE_sur_real=896.0569104324459 | HV_sur=1.1657986117495471 | HV_real=1.1635356298731288 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=11 | time=4.70840311050415 | MSE_test=8739.93418395451 | MSE_sur_real=792.7258941287771 | HV_sur=1.196856752913634 | HV_real=1.1851336042509706 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=12 | time=8.97584080696106 | MSE_test=8739.93418395451 | MSE_sur_real=776.0022154459818 | HV_sur=1.19684974815968 | HV_real=1.1853863620299054 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=13 | time=4.7238404750823975 | MSE_test=8739.93418395451 | MSE_sur_real=833.2161487404462 | HV_sur=1.196856752652578 | HV_real=1.1851473316016614 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=14 | time=4.474032163619995 | MSE_test=8739.93418395451 | MSE_sur_real=636.5763989210437 | HV_sur=1.1968567525670804 | HV_real=1.1854828710639342 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=15 | time=4.744488954544067 | MSE_test=8739.93418395451 | MSE_sur_real=655.9598908398295 | HV_sur=1.1968567525645806 | HV_real=1.1852202057494798 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=16 | time=4.822755575180054 | MSE_test=8739.93418395451 | MSE_sur_real=867.561168654451 | HV_sur=1.1968567529223937 | HV_real=1.1851811741968734 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=17 | time=3.5878775119781494 | MSE_test=8739.93418395451 | MSE_sur_real=748.7119136016375 | HV_sur=1.1968567529011698 | HV_real=1.1852604476522408 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=18 | time=3.411839008331299 | MSE_test=8739.93418395451 | MSE_sur_real=717.0997385884166 | HV_sur=1.1968567526426561 | HV_real=1.1851624937539385 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=19 | time=3.926079511642456 | MSE_test=8739.93418395451 | MSE_sur_real=755.1749659501834 | HV_sur=1.196856752623912 | HV_real=1.1851895846728555 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=20 | time=10.070586681365967 | MSE_test=8739.93418395451 | MSE_sur_real=696.8571816816388 | HV_sur=1.196856752634582 | HV_real=1.1854834804916958 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=21 | time=4.564846992492676 | MSE_test=8739.93418395451 | MSE_sur_real=893.65850151801 | HV_sur=1.1968567527255143 | HV_real=1.1853330401954407 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=22 | time=4.674713611602783 | MSE_test=8739.93418395451 | MSE_sur_real=811.0204113074185 | HV_sur=1.196856752553434 | HV_real=1.185395855904688 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=23 | time=4.538374185562134 | MSE_test=8739.93418395451 | MSE_sur_real=808.4375241006858 | HV_sur=1.186934868422395 | HV_real=1.1718808543985135 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=24 | time=4.500063419342041 | MSE_test=8739.93418395451 | MSE_sur_real=671.8726532728826 | HV_sur=1.1968567525565241 | HV_real=1.1851074832322264 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=25 | time=4.309554815292358 | MSE_test=8739.93418395451 | MSE_sur_real=832.2761775484537 | HV_sur=1.1968567529264504 | HV_real=1.1850606131225472 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=26 | time=4.571266174316406 | MSE_test=8739.93418395451 | MSE_sur_real=811.6937122936358 | HV_sur=1.1968567527208243 | HV_real=1.1853266034400354 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=27 | time=4.668657541275024 | MSE_test=8739.93418395451 | MSE_sur_real=739.36919420136 | HV_sur=1.1968567525673022 | HV_real=1.1853118005322845 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=28 | time=4.567857027053833 | MSE_test=8739.93418395451 | MSE_sur_real=688.8192774231858 | HV_sur=1.1968526872105505 | HV_real=1.1839098911068064 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=29 | time=3.78951096534729 | MSE_test=8739.93418395451 | MSE_sur_real=774.4531179963662 | HV_sur=1.1968567525336942 | HV_real=1.185166190344854 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re22 | seed=30 | time=8.487345457077026 | MSE_test=8739.93418395451 | MSE_sur_real=719.6335119319187 | HV_sur=1.1968567529026821 | HV_real=1.185322794783867 | HV_bounds_check=True | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=1 | time=3.61303448677063 | MSE_test=1661157379.7419522 | MSE_sur_real=1112110871.4381983 | HV_sur=1.2056095573637673 | HV_real=1.2044713977389316 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=2 | time=3.306987762451172 | MSE_test=1661157379.7419522 | MSE_sur_real=8777276062.107132 | HV_sur=1.2053822764657056 | HV_real=1.2042422129847279 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=3 | time=3.4228336811065674 | MSE_test=1661157379.7419522 | MSE_sur_real=7610636647.668961 | HV_sur=1.2056042972957162 | HV_real=1.204414853511901 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=4 | time=3.157928466796875 | MSE_test=1661157379.7419522 | MSE_sur_real=1346304761.381783 | HV_sur=1.205622283723496 | HV_real=1.2043985578304501 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=5 | time=3.4118125438690186 | MSE_test=1661157379.7419522 | MSE_sur_real=5490264827.323836 | HV_sur=1.2056299639416688 | HV_real=1.204422725786487 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=6 | time=3.6247551441192627 | MSE_test=1661157379.7419522 | MSE_sur_real=5402360718.131927 | HV_sur=1.2056431105413008 | HV_real=1.2046071148593005 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=7 | time=3.1609067916870117 | MSE_test=1661157379.7419522 | MSE_sur_real=5134760839.145827 | HV_sur=1.2056299778293138 | HV_real=1.2047683819874109 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=8 | time=3.3906443119049072 | MSE_test=1661157379.7419522 | MSE_sur_real=10053852552.203964 | HV_sur=1.2056431105413008 | HV_real=1.2046691343912932 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=9 | time=3.173125982284546 | MSE_test=1661157379.7419522 | MSE_sur_real=947322007.0376153 | HV_sur=1.2056084018347977 | HV_real=1.2043653591001484 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=10 | time=3.418215751647949 | MSE_test=1661157379.7419522 | MSE_sur_real=6736436925.982011 | HV_sur=1.2056431105413008 | HV_real=1.2046214133318187 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=11 | time=3.586963653564453 | MSE_test=1661157379.7419522 | MSE_sur_real=1544334572.2583268 | HV_sur=1.205622275816873 | HV_real=1.2045644812979694 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=12 | time=3.3567047119140625 | MSE_test=1661157379.7419522 | MSE_sur_real=6461150074.2021 | HV_sur=1.2056299778293138 | HV_real=1.2046191436522724 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=13 | time=10.338486671447754 | MSE_test=1661157379.7419522 | MSE_sur_real=4862259057.906027 | HV_sur=1.2056174438953482 | HV_real=1.2045554151587172 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=14 | time=3.291433334350586 | MSE_test=1661157379.7419522 | MSE_sur_real=7766101195.81434 | HV_sur=1.2056431105413008 | HV_real=1.2045306200389383 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=15 | time=3.280550241470337 | MSE_test=1661157379.7419522 | MSE_sur_real=1835195540.2914712 | HV_sur=1.205622275816873 | HV_real=1.2045537846302106 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=16 | time=2.901632785797119 | MSE_test=1661157379.7419522 | MSE_sur_real=7182305902.174915 | HV_sur=1.2056431105413008 | HV_real=1.2045780708210414 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=17 | time=2.613762617111206 | MSE_test=1661157379.7419522 | MSE_sur_real=1670156922.4525342 | HV_sur=1.205622275816873 | HV_real=1.204611110119283 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=18 | time=2.49769926071167 | MSE_test=1661157379.7419522 | MSE_sur_real=8612310708.830444 | HV_sur=1.2056174438953482 | HV_real=1.204633731380391 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=19 | time=2.786729097366333 | MSE_test=1661157379.7419522 | MSE_sur_real=4117667660.9136963 | HV_sur=1.2056431105413008 | HV_real=1.204659881085589 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=20 | time=3.2450993061065674 | MSE_test=1661157379.7419522 | MSE_sur_real=5386542540.962158 | HV_sur=1.2056299639416688 | HV_real=1.2044436487228105 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=21 | time=3.419260263442993 | MSE_test=1661157379.7419522 | MSE_sur_real=6309245205.24527 | HV_sur=1.2056299639416688 | HV_real=1.2044457590030548 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=22 | time=3.5043962001800537 | MSE_test=1661157379.7419522 | MSE_sur_real=6371955268.981468 | HV_sur=1.2056299778293138 | HV_real=1.2045922894735213 | HV_bounds_check=False | solution_count=100
method=Autogluon_XGBoost | optimizer=NSGA-II | problem=re23 | seed=23 | time=3.411594867706299 | MSE_test=1661157379.7419522 | MSE_sur_real=8102872249.026644 | HV_sur=1.2056431105413008 | HV_real=1.2045882136990456 | HV_bounds_check=False | solution_count=100
