timestamp,method,optimizer,problem,MSE_test_mean,MSE_test_std,MSE_sur_real_mean,MSE_sur_real_std,HV_sur_mean,HV_sur_std,HV_real_mean,HV_real_std
2026-06-17T21:56:29+00:00,GPR-RBF,NSGA-II,re21,4.92E-06,8.47E-22,5.49E-05,1.50E-06,5.72E-01,4.94E-04,5.72E-01,5.02E-04
2026-06-17T21:56:29+00:00,GPR-RBF,Dual-Ranking+NSGA-II,re21,4.92E-06,8.47E-22,5.43E-05,2.25E-06,5.72E-01,1.32E-03,5.72E-01,1.32E-03
2026-06-17T21:58:41+00:00,GPR-RBF,NSGA-II,re22,3.11E+04,3.64E-12,2.26E+18,8.37E+18,1.20E+00,5.80E-04,1.20E+00,2.94E-09
2026-06-17T21:58:41+00:00,GPR-RBF,Dual-Ranking+NSGA-II,re22,3.11E+04,3.64E-12,7.42E+17,2.40E+18,1.20E+00,4.56E-04,1.20E+00,2.79E-08
2026-06-17T22:01:08+00:00,GPR-RBF,NSGA-II,re23,7.62E+10,0,4.31E+09,1.02E+09,9.90E-01,2.22E-02,1.10E+00,4.66E-02
2026-06-17T22:01:08+00:00,GPR-RBF,Dual-Ranking+NSGA-II,re23,7.62E+10,0,1.01E+10,2.87E+10,9.89E-01,2.36E-02,1.10E+00,4.60E-02
2026-06-17T22:03:27+00:00,GPR-RBF,NSGA-II,re24,1.85E-01,2.78E-17,1.61E+01,3.41E+00,1.19E+00,1.04E-05,1.18E+00,1.19E-05
2026-06-17T22:03:27+00:00,GPR-RBF,Dual-Ranking+NSGA-II,re24,1.85E-01,2.78E-17,1.60E+01,3.27E+00,1.19E+00,1.08E-05,1.18E+00,1.07E-05
2026-06-17T22:05:41+00:00,GPR-RBF,NSGA-II,re25,7.90E+09,9.54E-07,1.03E+09,5.10E+07,1.14E+00,1.47E-05,1.12E+00,9.96E-11
2026-06-17T22:05:41+00:00,GPR-RBF,Dual-Ranking+NSGA-II,re25,7.90E+09,9.54E-07,1.04E+09,3.79E+07,1.14E+00,1.13E-05,1.12E+00,2.06E-10
2026-06-17T22:07:46+00:00,GPR-RBF,NSGA-II,mo-portfolio,4.56E-09,8.27E-25,5.30E-06,1.02E-06,2.94E-01,1.15E-02,2.86E-01,1.13E-02
2026-06-17T22:07:46+00:00,GPR-RBF,Dual-Ranking+NSGA-II,mo-portfolio,4.56E-09,8.27E-25,4.99E-06,9.84E-07,2.91E-01,1.30E-02,2.83E-01,1.29E-02
2026-06-17T22:10:24+00:00,GPR-RBF,NSGA-II,truss2d,2.74E+12,4.88E-04,1.01E+09,6.18E+07,1.13E+00,6.81E-03,1.13E+00,6.80E-03
2026-06-17T22:10:24+00:00,GPR-RBF,Dual-Ranking+NSGA-II,truss2d,2.74E+12,4.88E-04,1.02E+09,6.12E+07,1.13E+00,7.23E-03,1.13E+00,7.21E-03
2026-06-17T22:12:58+00:00,GPR-RBF,NSGA-II,welded_beam,2.07E+04,3.64E-12,3.88E+03,1.75E+03,9.64E-01,5.62E-02,5.92E-01,2.27E-03
2026-06-17T22:12:58+00:00,GPR-RBF,Dual-Ranking+NSGA-II,welded_beam,2.07E+04,3.64E-12,4.86E+03,1.10E+03,9.75E-01,3.63E-02,5.92E-01,2.82E-03
2026-06-17T21:56:45+00:00,GPR-Matern,NSGA-II,re21,3.28E-06,8.47E-22,7.91E-05,3.28E-06,5.72E-01,5.22E-04,5.72E-01,5.07E-04
2026-06-17T21:56:45+00:00,GPR-Matern,Dual-Ranking+NSGA-II,re21,3.28E-06,8.47E-22,7.89E-05,2.64E-06,5.72E-01,5.18E-04,5.72E-01,4.96E-04
2026-06-17T21:59:08+00:00,GPR-Matern,NSGA-II,re22,3.25E+04,7.28E-12,1.54E+15,7.77E+15,1.20E+00,5.49E-04,1.20E+00,1.82E-08
2026-06-17T21:59:08+00:00,GPR-Matern,Dual-Ranking+NSGA-II,re22,3.25E+04,7.28E-12,4.33E+18,2.33E+19,1.20E+00,5.01E-04,1.20E+00,2.16E-07
2026-06-17T22:01:45+00:00,GPR-Matern,NSGA-II,re23,7.62E+10,1.53E-05,1.48E+10,5.69E+10,1.00E+00,2.20E-02,1.12E+00,4.90E-02
2026-06-17T22:01:45+00:00,GPR-Matern,Dual-Ranking+NSGA-II,re23,7.62E+10,1.53E-05,1.38E+10,5.26E+10,9.93E-01,2.22E-02,1.11E+00,4.74E-02
2026-06-17T22:04:15+00:00,GPR-Matern,NSGA-II,re24,2.06E-01,5.55E-17,1.91E+01,3.92E+00,1.20E+00,1.45E-05,1.18E+00,1.73E-05
2026-06-17T22:04:15+00:00,GPR-Matern,Dual-Ranking+NSGA-II,re24,2.06E-01,5.55E-17,1.89E+01,5.32E+00,1.20E+00,5.75E-05,1.18E+00,5.20E-05
2026-06-17T22:06:36+00:00,GPR-Matern,NSGA-II,re25,8.90E+09,1.91E-06,1.12E+08,3.11E+07,1.13E+00,4.60E-04,1.12E+00,2.17E-06
2026-06-17T22:06:36+00:00,GPR-Matern,Dual-Ranking+NSGA-II,re25,8.90E+09,1.91E-06,6.19E+09,3.99E+09,1.13E+00,6.13E-04,1.12E+00,1.86E-04
2026-06-17T22:08:50+00:00,GPR-Matern,NSGA-II,mo-portfolio,2.30E-09,4.14E-25,6.58E-06,1.21E-06,2.98E-01,8.67E-03,2.89E-01,8.57E-03
2026-06-17T22:08:50+00:00,GPR-Matern,Dual-Ranking+NSGA-II,mo-portfolio,2.30E-09,4.14E-25,6.21E-06,1.05E-06,2.98E-01,9.85E-03,2.89E-01,9.85E-03
2026-06-17T22:11:35+00:00,GPR-Matern,NSGA-II,truss2d,2.74E+12,4.88E-04,1.06E+09,7.90E+07,1.13E+00,6.51E-03,1.13E+00,6.48E-03
2026-06-17T22:11:35+00:00,GPR-Matern,Dual-Ranking+NSGA-II,truss2d,2.74E+12,4.88E-04,9.43E+08,1.02E+08,1.13E+00,5.35E-03,1.13E+00,5.35E-03
